Treatment,Date,Ca2+_umol,Mg2+_umol,Volume in l,conduct_uS_per_cm_in_field,Ca_export_umol,Mg_export_umol
000,2022-07-05,5480.2895,1381.06025,2.43325,630.0,13334.914425875,3360.4648533125
000,2022-07-18,7424.526,1765.06875,3.3,635.0,24500.9358,5824.726874999999
000,2022-08-01,24500.998,6104.71075,9.5,762.5,232759.481,57994.752125
000,2022-08-16,7796.906,1980.0452500000001,2.5,932.5,19492.265,4950.113125
000,2022-08-30,172696.27425,43067.27025,40.66675,1218.5,7022996.210856187,1751405.9124391875
000,2022-09-13,14720.559,3651.512,4.0,1052.5,58882.236,14606.048
000,2022-10-11,27590.652000000002,7585.88775,7.16675,1092.5,197735.30522100002,54366.1610323125
000,2022-11-15,33246.00825,9113.351,9.33325,1117.5,310293.30649931246,85057.18322075
000,2022-12-12,53771.6235,14386.6145,18.66675,917.5,1003741.452968625,268551.336217875
000,2023-01-17,37892.964,9694.5075,22.0,597.5,833645.208,213279.16499999998
000,2023-02-14,15797.5715,4295.41225,14.66675,385.0,231699.031797625,62999.737617687504
000,2023-03-13,9523.661,2546.11525,11.16675,320.0,106348.34147175,28431.8324679375
000,2023-04-17,12647.62125,3323.5615,14.16675,332.5,179175.6883434375,47084.064880125
000,2023-05-16,3218.563,842.419,3.0,380.0,9655.689,2527.257
000,2023-06-20,2254.86525,571.4875,3.1,345.0,6990.082275,1771.61125
000,2023-09-12,10673.029,2421.31225,10.26675,440.0,109577.32048575001,24859.0075426875
000,2023-12-05,29337.159,8128.643,31.33325,340.0,919228.53723675,254696.80327975
000,2024-05-16,91888.0985,23908.661,84.25,296.75,7741572.298625,2014304.68925
000,2024-08-29,35712.94925,9230.611,22.125,417.5,790149.00215625,204227.268375
100,2022-07-05,9451.09775,2485.7712500000002,4.23325,655.0,40008.8595501875,10522.891144062502
100,2022-07-18,8756.86125,2173.4212500000003,3.8625,656.6666666666666,33823.376578125,8394.839578125
100,2022-08-01,13570.77525,3203.0445,4.96675,822.5,67402.6479729375,15908.721270375001
100,2022-08-16,9668.163499999999,2288.6235,2.5,1100.0,24170.408749999995,5721.55875
100,2022-08-30,181428.809,46506.20575,41.66675,1255.5,7559548.8274007505,1937762.4484338125
100,2022-09-13,23265.968249999998,5574.98475,8.5,1013.3333333333334,197760.73012499997,47387.370375
100,2022-10-11,30584.664,8269.9035,9.83325,972.5,300746.647278,81320.028591375
100,2022-11-15,22496.6735,6144.1404999999995,7.33325,992.5,164973.730943875,45056.51832162499
100,2022-12-12,52239.27175,13808.886999999999,19.5,832.5,1018665.799125,269273.2965
100,2023-01-17,35092.31525,9092.093499999999,23.66675,535.0,830521.0519429375,215180.303841125
100,2023-02-14,15695.692,4226.49675,15.66675,355.0,245900.48264099998,66215.46795806251
100,2023-03-13,8784.51425,2436.39875,10.66675,302.5,93702.2173761875,25988.4563665625
100,2023-04-17,13057.219,3403.9632500000002,14.33325,322.5,187152.38423174998,48789.8562530625
100,2023-05-16,3274.70075,864.0195,3.0,357.5,9824.10225,2592.0585
100,2023-06-20,1921.1577499999999,496.19425,2.2,315.0,4226.54705,1091.6273500000002
100,2023-09-12,8798.652750000001,2073.03025,7.800000000000001,447.5,68629.49145000002,16169.63595
100,2023-12-05,28738.35675,7890.35175,31.16675,332.5,895681.1802380625,245916.6204043125
100,2024-05-16,87964.69525,23536.30925,85.375,300.25,7509985.85696875,2009412.40221875
100,2024-08-29,29116.7665,7566.344499999999,20.0,367.5,582335.3300000001,151326.88999999998
200,2022-07-05,5117.88925,1273.0575,2.28325,615.0,11685.4206300625,2906.7085368749995
200,2022-07-18,9131.73625,2237.194,4.0,667.5,36526.945,8948.776
200,2022-08-01,35175.27475,8680.312750000001,14.600000000000001,717.5,513559.01135,126732.56615000003
200,2022-08-16,7796.906,1877.1855,2.5,927.5,19492.265,4692.96375
200,2022-08-30,177582.33525,43581.5675,42.0,1194.5,7458458.0805,1830425.835
200,2022-09-13,24970.891750000003,5825.276,7.16675,967.5,178960.13844931254,41748.296773
200,2022-10-11,28910.928,7776.17775,9.5,955.0,274653.816,73873.688625
200,2022-11-15,27694.611,7344.1677500000005,9.0,1010.0,249251.499,66097.50975
200,2022-12-12,47398.95225,12548.858250000001,18.5,842.5,876880.616625,232153.87762500002
200,2023-01-17,32961.161250000005,8431.392500000002,23.66675,500.0,780083.5630134377,199543.65844937504
200,2023-02-14,16309.04825,4335.52775,16.33325,345.0,266379.7623293125,70813.2586226875
200,2023-03-13,9381.2375,2440.51325,11.33325,297.5,106319.90989687499,27658.9467905625
200,2023-04-17,12743.26325,3282.2467500000002,14.0,320.0,178405.6855,45951.45450000001
200,2023-05-16,3199.85,817.733,3.0,400.0,9599.55,2453.1989999999996
200,2023-06-20,1884.98,494.34274999999997,2.2,312.5,4146.956,1087.55405
200,2023-09-12,12064.413,2869.7799999999997,8.33325,450.0,100535.76963225,23914.594184999998
200,2023-12-05,28368.2635,7767.949,30.0,335.0,851047.905,233038.47
200,2024-05-16,83620.25925,22977.78225,82.75,306.5,6919576.452937501,1901411.4811875
200,2024-08-29,29590.8185,7799.8355,21.75,370.0,643600.302375,169646.422125
400,2022-07-05,4470.43425,1150.1405,2.08325,595.0,9313.0321513125,2396.030196625
400,2022-07-18,7882.984,1968.2165,3.3375000000000004,666.6666666666666,26309.459100000004,6568.922568750001
400,2022-08-01,18396.95625,4366.3855,6.93325,742.5,127550.6969203125,30273.242267875004
400,2022-08-16,8285.51225,2026.3319999999999,2.33325,1052.5,19332.1714573125,4727.939139
400,2022-08-30,168579.50775,44953.0275,41.66675,1201.5,7024160.204542312,1873046.558585625
400,2022-09-13,17153.19375,4350.95675,5.0,1017.5,85765.96875,21754.783750000002
400,2022-10-11,29253.992,7920.1810000000005,9.0,1035.0,263285.92799999996,71281.629
400,2022-11-15,23369.927,6589.865,8.33325,815.0,194747.44417275,54914.99251125
400,2022-12-12,45574.47625,12048.275249999999,19.16675,782.5,873514.5926646875,230926.27964793748
400,2023-01-17,32335.3295,8393.33475,24.0,492.5,776047.908,201440.03399999999
400,2023-02-14,15115.60225,4034.14925,15.33325,350.0,231771.30819981248,61856.6189875625
400,2023-03-13,9451.9295,2590.3450000000003,11.66675,320.0,110273.298494125,30220.907528750005
400,2023-04-17,12427.22875,3327.8475,14.33325,320.0,178122.5764809375,47698.87017937499
400,2023-05-16,3106.28775,811.561,3.0,352.5,9318.86325,2434.683
